,Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
0,0,AMD Athlon 64 3500+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2200.0,Unknown,AMD
1,1,AMD Athlon 200GE,CPU,2018-09-06,14.0,35.0,192.0,4800.0,3200.0,Unknown,AMD
2,2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,28.0,,,2600.0,Intel,Intel
3,3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,1800.0,Intel,Intel
4,4,AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,125.0,258.0,758.0,3700.0,Unknown,AMD
5,5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2400.0,Intel,Intel
6,6,AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,125.0,285.0,450.0,2400.0,Unknown,AMD
7,7,Intel Pentium D 930,CPU,2006-01-16,65.0,130.0,140.0,376.0,3000.0,Intel,Intel
8,8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,28.0,,,2000.0,Intel,Intel
9,9,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,156.0,154.0,2200.0,Unknown,AMD
10,10,AMD Sempron 2800+,CPU,2004-08-01,130.0,62.0,80.0,37.0,1992.0,Unknown,AMD
11,11,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel
12,12,AMD C-70,CPU,2012-09-01,40.0,9.0,75.0,,1000.0,Unknown,AMD
13,13,Intel Core i5-8269U,CPU,2018-04-05,14.0,28.0,123.0,,2600.0,Intel,Intel
14,14,AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD
15,15,Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,1400.0,1200.0,Intel,Intel
16,16,AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,65.0,35.0,,,2300.0,Unknown,AMD
17,17,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel
18,18,Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel
19,19,AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2400.0,Unknown,AMD
20,20,Intel Core i5-3427U,CPU,2012-06-01,22.0,17.0,118.0,,1800.0,Intel,Intel
21,21,AMD Opteron 148 HE,CPU,2004-12-01,90.0,55.0,,106.0,2200.0,Unknown,AMD
22,22,AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD
23,23,Intel Core i7-975,CPU,2009-06-02,45.0,130.0,263.0,731.0,3333.0,Intel,Intel
24,24,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD
25,25,Intel Pentium 4 HT 672,CPU,2005-11-14,90.0,84.0,109.0,169.0,3800.0,Intel,Intel
26,26,Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,206.0,169.0,3000.0,Intel,Intel
27,27,AMD EPYC 7371,CPU,2018-11-16,14.0,170.0,213.0,4800.0,3100.0,GF,AMD
28,28,Intel Pentium 4 HT 550,CPU,2004-06-21,90.0,115.0,109.0,125.0,3400.0,Intel,Intel
29,29,Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel
30,30,AMD Sempron 140,CPU,2009-07-22,45.0,45.0,117.0,234.0,2700.0,Unknown,AMD
31,31,AMD EPYC 7501,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2000.0,GF,AMD
32,32,Intel Atom E680,CPU,2010-09-14,45.0,4.0,26.0,47.0,1600.0,Intel,Intel
33,33,Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3000.0,Intel,Intel
34,34,Intel Xeon Platinum 8380,CPU,2021-04-06,10.0,270.0,,,2300.0,Intel,Intel
35,35,Intel Xeon Phi 7120A,CPU,2014-04-06,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel
36,36,Intel Core i3-8020,CPU,2018-09-01,14.0,65.0,,,3700.0,Intel,Intel
37,37,Intel Atom S1220,CPU,2012-12-11,32.0,8.0,,,1600.0,Intel,Intel
38,38,AMD Phenom X4 9600,CPU,2007-11-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD
39,39,Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel
40,40,AMD Opteron X2 180,CPU,2005-09-26,90.0,110.0,,233.0,2400.0,Unknown,AMD
41,41,AMD E2-3200,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2400.0,Unknown,AMD
42,42,AMD Turion 64 MT-34,CPU,2005-03-10,90.0,25.0,125.0,114.0,1800.0,Unknown,AMD
43,43,Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel
44,44,Intel Core 2 Quad Q9550S,CPU,2009-01-27,45.0,65.0,107.0,820.0,2833.0,Intel,Intel
45,45,Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1800.0,Intel,Intel
46,46,AMD Opteron X2 185,CPU,2006-03-06,90.0,110.0,,233.0,2600.0,Unknown,AMD
47,47,Intel Core i3-8300,CPU,2018-02-14,14.0,62.0,,,3700.0,Intel,Intel
48,48,AMD Ryzen 5 1400,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3200.0,GF,AMD
49,49,AMD A4-3300M,CPU,2011-06-14,32.0,35.0,228.0,1178.0,1900.0,Unknown,AMD
50,50,Intel Xeon 3.20,CPU,2003-10-06,130.0,97.0,237.0,286.0,3200.0,Intel,Intel
51,51,AMD Opteron 848,CPU,2004-12-01,90.0,85.0,,106.0,2200.0,Unknown,AMD
52,52,Intel Core 2 Extreme QX6700,CPU,2006-11-01,65.0,130.0,143.0,582.0,2666.0,Intel,Intel
53,53,Intel Pentium Gold G6405T,CPU,2021-03-16,14.0,35.0,,,3500.0,Intel,Intel
54,54,AMD A6-3600,CPU,2011-06-30,32.0,65.0,228.0,1178.0,2100.0,Unknown,AMD
55,55,Intel Xeon Phi 7120X,CPU,2013-06-17,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel
56,56,Intel Core i9-10900K,CPU,2020-04-30,14.0,125.0,206.0,,3700.0,Intel,Intel
57,57,Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,118.0,1400.0,1100.0,Intel,Intel
58,58,AMD Athlon 64 X2 5600+,CPU,2006-12-12,90.0,89.0,220.0,227.0,2800.0,Unknown,AMD
59,59,AMD Athlon II X4 640,CPU,2010-05-11,45.0,95.0,169.0,300.0,3000.0,Unknown,AMD
60,60,Intel Atom Z515,CPU,2009-04-08,45.0,1.0,26.0,47.0,1200.0,Intel,Intel
61,61,AMD EPYC 7302,CPU,2019-08-07,7.0,155.0,74.0,3800.0,3000.0,TSMC,AMD
62,62,Intel Celeron 3205U,CPU,2015-03-01,14.0,15.0,,,1500.0,Intel,Intel
63,63,Intel Core i3-10305T,CPU,2021-03-16,14.0,35.0,,,3000.0,Intel,Intel
64,64,AMD Ryzen 9 5900HX,CPU,2021-01-12,7.0,45.0,156.0,9800.0,3300.0,TSMC,AMD
65,65,AMD EPYC 7502,CPU,2019-08-07,7.0,180.0,74.0,3800.0,2500.0,TSMC,AMD
66,66,AMD Athlon 64 4000+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2600.0,Unknown,AMD
67,67,Intel Pentium III 1400S,CPU,2002-01-08,130.0,32.0,80.0,44.0,1400.0,Intel,Intel
68,68,Intel Core i7-9850HE,CPU,NaT,14.0,45.0,149.0,,2700.0,Intel,Intel
69,69,AMD Mobile Athlon 64 3400+,CPU,2005-08-01,130.0,82.0,193.0,106.0,2200.0,Unknown,AMD
70,70,Intel Xeon E5-2620 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2100.0,Intel,Intel
71,71,Intel Core i9-10850K,CPU,2020-07-27,14.0,125.0,206.0,,3600.0,Intel,Intel
72,72,Intel Core i5-11600,CPU,2021-03-16,14.0,65.0,,,2800.0,Intel,Intel
73,73,Intel Core i7-3555LE,CPU,2012-06-03,22.0,25.0,118.0,,2500.0,Intel,Intel
74,74,Intel Xeon E3-1220L v2,CPU,2012-05-14,22.0,17.0,,,2300.0,Intel,Intel
75,75,Intel Core i3-8130U,CPU,2018-02-13,14.0,15.0,123.0,,2400.0,Intel,Intel
76,76,Intel Xeon Platinum 8260,CPU,2018-12-11,14.0,165.0,,8000.0,2400.0,Intel,Intel
77,77,AMD Athlon 64 3500+,CPU,2005-05-31,90.0,67.0,156.0,154.0,2200.0,Unknown,AMD
78,78,AMD Ryzen 9 5950X,CPU,2020-11-05,7.0,105.0,,,3400.0,TSMC,AMD
79,79,Intel Atom N2600,CPU,2011-12-01,32.0,4.0,66.0,176.0,1600.0,Intel,Intel
80,80,Intel Xeon Platinum 8352M,CPU,2021-04-06,10.0,185.0,,,2300.0,Intel,Intel
81,81,AMD EPYC 7763,CPU,2021-03-15,7.0,280.0,,,2450.0,TSMC,AMD
82,82,Intel Core i7-8809G,CPU,2018-02-01,14.0,65.0,,,3100.0,Intel,Intel
